Context,Sentence,Item,ItemNum,Group,Cond,Left,Right,Critical,Block,Question,QuestionText,QuestionCorrect,QuestionCond,ListMy
"Eine junge Dame wollte einen Edelstein von einem Juwelier beurteilen lassen. Stolz erzählte sie ihm, dass sie ihn von ihrer Großtante geerbt habe. Nun wollte die Dame von dem Juwelier wissen, um welche Art Edelstein es sich handelte. Der Juwelier betrachtete den Edelstein sehr lange und sagte dann zu der jungen Dame, dass er sehr selten und wunderschön sei.",Entzückt würzte die Dame den Juwelier und danach bedankte sie sich für sein Fachwissen.,99,18,1,153,Nein,&nbsp;Ja&nbsp;,6,1,no,,,,3
"Während ein Ritter seinen Umhang anprobierte, besprach er das bevorstehende Turnier mit dem Burgfräulein. Das Burgfräulein fand den Umhang viel zu groß und schlug vor, ihn etwas zu kürzen. Aber der Ritter wollte nicht, dass das Burgfräulein irgendetwas veränderte. Er hatte den Umhang schon seit Jahren und dieser hatte dem Ritter bisher immer Glück gebracht.",Daraufhin faltete das Burgfräulein den Umhang und dann wünschte es dem Ritter viel Erfolg.,139,32,1,151,Nein,&nbsp;Ja&nbsp;,6,1,no,,,,3
"Ein Opa wollte einen Apfelkuchen bei einem Konditor kaufen. Der Konditor versicherte dem Opa, dass der Apfelkuchen heute besonders gelungen sei. Der Opa schaute auf den Apfelkuchen in der Vitrine und sah glücklich den Konditor an.",Daraufhin verpackte der Konditor den Apfelkuchen und dann wandte er sich an den nächsten Kunden.,58,5,1,151,Nein,&nbsp;Ja&nbsp;,6,1,yes,Hat es nach dem Opa noch einen anderen Kunden gegeben?,K,continuation,3
"Eines Abends wurde ein Architekt von dem Bürgermeister angerufen. Dieser sagte, dass die Stadt eine neue Turnhalle zu bauen beabsichtigte. Er beauftragte den Architekten, einen Plan der Turnhalle zu erstellen und diesen in einer Rede vor dem Gemeinderat näher auszuführen. In der Rede solle er auf die besonderen Merkmale seines Entwurfes eingehen. Der Architekt versicherte, dass er sofort mit der Konzeption der Turnhalle beginnen werde und bedankte sich für die Tipps bezüglich der Rede.",Daraufhin schrieb der Architekt die Rede und dann goss er sich ein Glas Wein ein.,202,53,1,151,Nein,&nbsp;Ja&nbsp;,6,1,yes,Hat der Architekt die Rede schreiben lassen?,D,manipulation,3
"Eine Erzieherin suchte einen Therapeuten auf. Dieser war ihr von einer Freundin empfohlen worden, nachdem sie über Symptome geklagt hatte. Die Symptome waren denen einer Depression ziemlich ähnlich und die Erzieherin hatte beschlossen, dass sie professionelle Hilfe von dem Therapeuten brauche. So war die Erzieherin sehr erleichtert gewesen, als sie endlich einen Termin bei dem Therapeuten bekommen hatte, da sich die Symptome in letzter Zeit noch verschlimmert hatten.",In der Praxis behandelte der Therapeut die Symptome und daraufhin verschrieb er ein Medikament.,197,51,1,152,Nein,&nbsp;Ja&nbsp;,8,1,yes,War die Erzieherin über den Termin verärgert gewesen?,D,paragraph,3
"In einem Museum konnte eine Besucherin einen bestimmten Raum nicht finden. Verzweifelt versuchte sie, sich an der Wegbeschreibung auf ihrer Eintrittskarte zu orientieren, aber ohne Erfolg. Dann entdeckte die Besucherin eine Aufsichtsperson am anderen Ende des Raumes und fragte sie nach Hilfe. Die Aufsichtsperson erzählte, dass einige Leute Probleme mit der Wegbeschreibung auf der Eintrittskarte hätten. Die Aufsichtsperson nahm die Eintrittskarte der Besucherin und versprach, ihr den Weg zu zeigen.",Daraufhin studierte die Aufsichtsperson die Besucherin und währenddessen erklärte sie ihr den Weg.,143,33,1,152,Nein,&nbsp;Ja&nbsp;,6,1,yes,War die Besucherin auf der Suche nach einem bestimmten Raum?,K,paragraph,3
"Ein kleiner Circus war in einer Stadt eingetroffen und sofort machten sich die Leute daran, das Zelt aufzubauen. Am nächsten Tag kam eine Polizistin vorbei, die kontrollieren wollte, ob alles in Ordnung sei. Deswegen verlangte sie, den Direktor zu sprechen. Dieser kam sofort und zeigte ihr alles. Dann suchte die Polizistin den Direktor. Doch dann fand die Beamtin heraus, dass die Papiere eines Akrobaten ungültig waren. Dieser nutzte den kurzen Moment der Irritation und floh vor der Polizistin und dem Direktor.",Daraufhin verhörte die Polizistin den Direktor und sofort fragte sie ihn nach einem möglichen Aufenthaltsort des Akrobaten.,18,118,1,256,Nein,&nbsp;Ja&nbsp;,6,1,no,,,,0
"Ein Tourist wollte seinen riesigen Koffer mit in das Flugzeug nehmen. Der Koffer war allerdings so schwer, dass die Dame am Check-in entschied, dem Touristen eine extra Gebühr zu berechnen. Daraufhin öffnete der Tourist seinen Koffer und warf einige Sachen hinaus. Somit wog der Koffer des einfallsreichen Touristen weniger als das Maximum von 30 Kilogramm.",Dann unterschrieb die Dame den Touristen und danach ging er zum Gate.,48,1,1,153,Nein,&nbsp;Ja&nbsp;,6,1,yes,War der Koffer am Anfang zu schwer?,K,paragraph,3
"Mitten im Meer sah ein Kapitän ein Pärchen auf einem kleinen Segelboot. Schon aus großer Entfernung konnte der Kapitän sehen, dass das Segelboot kaputt und das Pärchen in großer Not war. Schnell änderte der Kapitän seinen Kurs und steuerte zum Segelboot, um dem Pärchen zu helfen.",Dann rettete der Kapitän das Segelboot und sofort half er dem Pärchen.,71,9,1,152,Nein,&nbsp;Ja&nbsp;,6,1,yes,Hat der Kapitän dem Pärchen geholfen?,K,continuation,3
"Ein Biologe wollte ein Protein untersuchen, da er sich für dessen genaue Zusammensetzung interessierte. Er arbeitete schon lange mit dem Protein und hatte eine neue Hypothese aufgestellt. Um diese nun zu überprüfen, holte der Wissenschaftler ein besonderes Mikroskop aus dem Nebenzimmer und unterhielt sich nebenbei mit dem Protein.",Dann justierte der Biologe das Mikroskop und anschließend machte er sich an die Arbeit.,32,132,1,257,Nein,&nbsp;Ja&nbsp;,6,1,yes,Hat der Biologe nach dem Aufbau des Mikroskops die Arbeit auf den nächsten Tag verschoben?,D,continuation,0
"Da der Wasserhahn einer älteren Hausfrau nicht mehr aufhörte zu tropfen, rief die Hausfrau schließlich einen Handwerker. Zuerst betrachtete der Handwerker den Wasserhahn ausführlich und versuchte dann, ihn zu reparieren. Geduldig wartete die Hausfrau daneben. Nach einer Weile sagte der Handwerker, dass der Wasserhahn schon zu kaputt sei und er einen neuen installieren müsse.",Daraufhin knickte die Hausfrau den Handwerker und noch lange ärgerte sie sich über die Mängel moderner Geräte.,75,10,1,153,Nein,&nbsp;Ja&nbsp;,6,1,no,,,,3
"In einem schicken Restaurant in New York rief ein Gast nach der Kellnerin, als er bezahlen wollte. Der Mann gab der Bedienung seine Kreditkarte, doch kurze Zeit später wurde ihm mitgeteilt, dass der Zahlungsvorgang abgebrochen wurde. Verwundert antwortete der Kunde der verärgerten Kellnerin, dass seine Karte bis jetzt immer funktioniert habe.","Daraufhin beruhigte der Gast die Kellnerin und dann fragte er, ob sie den Zahlungsvorgang noch einmal probieren könne.",5,105,1,255,Nein,&nbsp;Ja&nbsp;,6,1,no,,,,0
"Ein Händler war auf dem Weg in den fernen Orient, um dort kostbare Gewürze einzukaufen. Dort angekommen begab er sich zum Marktplatz. Der Händler konnte schon von weitem die Rufe hören, mit denen die Sklaven zum Kauf angepriesen wurden. Der Händler fragte jemanden nach dem Stand mit den Gewürzen. Auf dem Weg zu den Gewürzen kam auch er an den Sklaven vorbei, welche seine fremdländischen Gewänder interessiert musterten.",Dann grüßte der Händler die Sklaven und anschließend ging er weiter zu den Gewürzen.,145,34,1,151,Nein,&nbsp;Ja&nbsp;,6,1,no,,,,3
"Zu Onkel Karls 70. Geburtstag hatte sich die Nichte etwas ganz Besonderes überlegt. Sie wusste, dass der Onkel nicht sehr gerne Zeit in der Küche verbrachte, aber um sein Leben gern Süßes aß. Deswegen hatte sie seine Lieblingstorte geparkt. Als die Tochter dem Onkel zum Geburtstag gratulierte, lachte er vor Freude.",Daraufhin umarmte der Onkel die Nichte und danach drückte er ihr ein Glas Sekt in die Hand.,33,133,1,257,Nein,&nbsp;Ja&nbsp;,6,1,no,,,,0
"Vor langer Zeit lebte in einem Land ein Prinz, der unsterblich in die Prinzessin aus dem Nachbarland verliebt war. Doch eines Tages wurde sie von einer eifersüchtigen Fee entführt, die selbst in den Prinzen verliebt war. Als dieser davon hörte, war er untröstlich. Sofort machte er sich auf den Weg zum Versteck, um die Fee zu retten. Zum Glück wusste er, wo die Entführerin lebte.",Dort angekommen tötete der Prinz die Fee und anschließend befreite er die Prinzessin.,16,116,1,256,Nein,&nbsp;Ja&nbsp;,7,1,yes,Hat der Prinz die Prinzessin befreit?,K,continuation,0
"Als ein Wanderer einen Fluss überquerte, sah er auf der Brücke einen Angler stehen. Er begrüßte diesen und die beiden kamen ins Gespräch. Stolz erzählte der Fischer, dass gerade ein Fisch angebissen hatte. Nach einer Weile hatte der Fisch den Kampf aufgegeben und der Fischer zog schließlich den Wanderer aus dem Wasser.",Da beglückwünschte der Wanderer den Angler und dann setzte er seinen Spaziergang fort.,20,120,1,256,Nein,&nbsp;Ja&nbsp;,6,1,no,,,,0
"Eine Bänkerin fuhr mit einem Zug in eine andere Stadt. Sie kramte in ihrer Tasche nach der Fahrkarte, da bestimmt gleich ein Schaffner vorbeikommen würde. Da die Frau ein wenig Angst vor der Fahrkarte hatte, betrachtete sie das Ticket noch einmal, um zu überprüfen, dass alles stimmte. Da hörte die Bänkerin den Schaffer auch schon kommen.",Dann begrüßte der Schaffner die Bänkerin und des Weiteren wünschte er eine gute Weiterfahrt.,34,134,1,257,Nein,&nbsp;Ja&nbsp;,6,1,no,,,,0
"Ein armer Bauer und seine Frau standen vor ihrer Hütte. Die Ehefrau wollte, dass der Bauer ihre Behausung vergrößerte, da sie sehr klein war. Doch der Mann weigerte sich, sie zu vergrößern. Seiner Meinung nach war ihr Zuhause genau groß genug. Daraufhin gestand sie, dass sie kleine Räume hasste und fing an, zu weinen.",Daraufhin tröstete der Bauer die Frau und dann nahm er sie in die Arme.,2,102,1,255,Nein,&nbsp;Ja&nbsp;,6,1,yes,Hat die Frau den Bauer getröstet?,D,manipulation,0
"Aufgeregt standen die Gäste in der Kirche und lauschten der rührenden Predigt des Pfarrers. Die Braut konnte den Moment kaum erwarten, in dem sie dem Bräutigam ihr Jawort geben und den Ring erhalten würde. Sie wusste, dass der Ring ein sehr besonderes Erbstück aus der Familie des Bräutigams war, das schon lange von Generation zu Generation weitergegeben worden war, und fühlte sich sehr geehrt, dieses zu erhalten. Als der Pfarrer die Predigt beendete und dem Brautpaar die Frage stellte, gaben sich der Bräutigam und die Braut das Jawort, während der Trauzeuge den schönen Ring hervorholte.",Glücklich vereinfachte die Braut den Bräutigam und dann übergab der Trauzeuge den Ring.,138,31,1,153,Nein,&nbsp;Ja&nbsp;,6,1,yes,Hat der Pfarrer den Ring übergeben?,D,continuation,3
"Schon seit einiger Zeit bereitete sich ein Sportler auf einen großen Wettkampf im Ringen vor. Der Vater des Sportlers half ihm täglich beim Training, denn gemeinsam wollten sie den Juror mit einer guten Technik überzeugen. Der Vater kannte den Juror schon seit langer Zeit und wusste, dass der Juror sehr auf die richtige Technik achtete. Am Tag des Wettkampfes war der Vater sehr aufgeregt, doch der Sportler beeindruckte alle mit seiner hervorragenden Technik und gewann den Wettbewerb.",Danach beglückwünschte der Juror den Sportler und außerdem lobte er dessen Sohn in höchsten Tönen.,115,24,1,151,Nein,&nbsp;Ja&nbsp;,6,1,no,,,,3
