Item,Condition,Rating,ReactionTime,Ratingdist,ReactionTimedist
36,B,5.25,29588.25,3.9,25350.7
36,C,1.44444444444444,28131.1111111111,1.6,14617.8
37,A,6.83333333333333,23415.5,1.4,22625.1
37,B,3.5,39975.3333333333,2,114317.1
37,C,1.375,22373.375,1.5,19918.2
38,A,6.33333333333333,14854.6666666667,1.8,20050.4
38,B,3,20635.75,1.8,22493.5
38,C,1.125,16777.625,3.2,23130.9
39,A,7,60583.7,1.8,20407.5
39,B,3.625,21246,1.1,19498.6
39,C,1.11111111111111,14794.6666666667,1.2,18987
40,A,6.75,20415,4.4,23176.2
40,B,3.5,73664.125,2.9,21200.9
40,C,1.1,16125.4,3,19295.6
41,A,6.625,19078.5,1.3,17211.4
41,B,3.125,32912.125,1.9,24355.9
41,C,1.1,19661.5,1.4,14324.9
42,A,7,18819.5,1.8,17103.6
42,B,4,20832,1.1,19033.3
42,C,1.5,21026.5,1.7,13623.3
43,A,6.5,13296.3333333333,3.9,23748.3
43,B,5.83333333333333,12843,5.6,23633.8
43,C,1.11111111111111,16325.8888888889,1.7,17900.9
44,A,6.5,28995.625,5.2,32366.9
44,B,4,19512.5714285714,4.5,33928.1
44,C,1.14285714285714,36568.1428571429,1.9,28724.5
45,A,7,43959.6,1.6,20535.7
45,B,4.66666666666667,34465.8333333333,2.8,21704.9
45,C,1.33333333333333,16270.1666666667,1.8,20955.1
46,A,6.8,20907.9,4.9,20292.5
46,B,4.75,88173.5,5,49212.4
46,C,1.4,17333.6,1.2,19900.5
47,A,6.55555555555556,23182.6666666667,1.8,21466.7
47,B,4,32621.6666666667,5.3,54859.1
47,C,1.4,21613.6,2.6,24157.2
48,A,6.875,19370,2.9,21586
48,B,3.57142857142857,26770.5714285714,4.1,23084.6
48,C,1.25,20332.25,3.2,18534.9
49,A,6.66666666666667,17452.7777777778,2.8,31956.8
49,B,3.85714285714286,22804,3.7,22661.3
49,C,1,19637.4,2.1,24859.5
50,A,6.875,24591.75,6.4,28377.3
50,B,4.66666666666667,32759.3333333333,1.6,28030.2
50,C,1.16666666666667,29676.8333333333,4,25453.2
51,A,6.8,22727.9,4.5,22260.2
51,B,2.28571428571429,26494,2,25008.9
51,C,1.28571428571429,16503.7142857143,1.7,21796.9
52,A,6.75,18470.5,3.9,16371.1
52,B,4.71428571428571,25572.1428571429,3.1,41154.3
52,C,1.3,15623.2,1.6,17777.1
53,A,7,28328.6,2.5,26763.4
53,B,4.33333333333333,30477.6666666667,4.8,98758.1
53,C,1.25,29818.75,2,19469.4
54,A,6.77777777777778,23229,3.7,24043
54,B,3.57142857142857,30952.4285714286,3.7,26392.3
54,C,1.33333333333333,22195.8333333333,1.4,19966.2
55,A,6.85714285714286,18420.5714285714,3.1,28231.3
55,B,5.125,25646,4.1,24747
55,C,1.5,24675,3,23130.1
56,A,7,21692.7777777778,2,21869.5
56,B,2.42857142857143,17763.2857142857,2.7,35827.8
56,C,1.33333333333333,18313.3333333333,3.6,20590.6
57,A,6.5,30697,1.9,28849.9
57,B,4,35308.75,1.2,26361.3
57,C,1.3,24251.1,1.2,29212.4
58,A,6.875,26409.25,4.6,20601
58,B,5.33333333333333,27968.1666666667,5.3,24506.3
58,C,1.16666666666667,33218.6666666667,1.6,25784.2
59,A,6.77777777777778,25229.5555555556,2.1,19534.8
59,B,2.85714285714286,66940.1428571429,2.1,17351.3
59,C,1,12583,3.1,17519
60,A,6.625,32026.75,2.7,25837
60,B,2.83333333333333,18658.3333333333,3.2,19604.9
60,C,1.44444444444444,22916.1111111111,1.9,12730.9
